order_item_id,order_id,product_id,quantity
1,1000,7,1
2,1000,9,3
3,1000,10,1
4,1000,10,2
5,1001,16,2
6,1001,16,2
7,1002,10,1
8,1002,19,3
9,1002,18,2
10,1003,12,1
11,1003,10,1
12,1003,10,3
13,1003,3,2
14,1004,9,3
15,1004,16,1
16,1004,7,3
17,1004,9,3
18,1005,5,1
19,1005,20,3
20,1005,19,1
21,1006,2,3
22,1006,17,1
23,1007,2,1
24,1007,14,2
25,1008,4,3
26,1008,5,1
27,1008,18,1
28,1008,14,3
29,1009,16,3
30,1009,7,2
31,1009,11,2
32,1009,2,1
33,1010,18,3
34,1010,2,1
35,1011,6,1
36,1011,13,2
37,1011,6,3
38,1011,10,1
39,1012,10,3
40,1013,11,2
41,1014,18,3
42,1014,16,1
43,1014,17,2
44,1014,9,1
45,1015,11,1
46,1016,9,3
47,1016,6,1
48,1016,11,2
49,1016,19,3
50,1017,6,3
51,1017,13,2
52,1018,3,2
53,1018,4,1
54,1018,5,2
55,1019,8,1
56,1019,9,2
57,1019,8,2
58,1020,11,2
59,1020,19,3
60,1020,19,1
61,1021,12,3
62,1021,8,1
63,1021,4,2
64,1022,6,2
65,1022,17,3
66,1022,10,3
67,1023,10,2
68,1024,8,1
69,1024,16,1
70,1025,20,2
71,1025,14,3
72,1025,18,2
73,1025,18,3
74,1026,8,3
75,1026,20,1
76,1027,17,3
77,1027,12,1
78,1027,19,1
79,1027,2,3
80,1028,19,3
81,1028,5,1
82,1029,17,2
83,1029,4,3
84,1029,7,3
85,1030,3,3
86,1030,15,1
87,1030,15,1
88,1030,17,2
89,1031,19,1
90,1031,18,2
91,1031,10,3
92,1031,1,2
93,1032,1,3
94,1032,7,3
95,1032,3,1
96,1033,12,3
97,1033,3,3
98,1033,2,1
99,1033,16,1
100,1034,14,1
101,1034,5,3
102,1034,14,2
103,1035,15,2
104,1035,13,1
105,1035,18,1
106,1035,12,1
107,1036,18,2
108,1036,17,1
109,1037,1,1
110,1037,10,2
111,1038,18,2
112,1038,8,1
113,1038,15,2
114,1038,5,2
115,1039,4,1
116,1039,14,3
117,1040,8,1
118,1041,4,3
119,1042,15,3
120,1043,8,3
121,1044,13,2
122,1045,18,1
123,1045,2,1
124,1046,8,3
125,1046,19,2
126,1046,19,3
127,1047,8,2
128,1047,5,3
129,1047,17,1
130,1048,10,2
131,1048,2,3
132,1048,19,3
133,1048,6,3
134,1049,18,2
135,1049,2,2
136,1049,13,3
137,1049,11,3
138,1050,14,1
139,1050,10,2
140,1050,6,3
141,1050,16,1
142,1051,10,3
143,1051,5,2
144,1052,18,2
145,1053,18,3
146,1053,5,2
147,1053,8,2
148,1053,7,2
149,1054,15,2
150,1055,18,3
151,1056,2,2
152,1056,13,3
153,1057,3,1
154,1058,16,1
155,1058,11,2
156,1059,7,1
157,1060,16,1
158,1061,13,1
159,1061,18,2
160,1062,13,2
161,1062,18,3
162,1062,12,2
163,1063,12,3
164,1063,16,2
165,1063,4,3
166,1064,11,1
167,1064,12,2
168,1064,14,1
169,1064,19,1
170,1065,1,2
171,1065,18,3
172,1066,10,1
173,1066,7,2
174,1066,8,2
175,1066,19,1
176,1067,18,3
177,1067,11,2
178,1067,16,3
179,1067,16,2
180,1068,12,1
181,1068,5,3
182,1069,6,3
183,1069,2,3
184,1069,2,1
185,1069,2,1
186,1070,5,3
187,1070,8,1
188,1070,5,1
189,1070,7,3
190,1071,12,1
191,1071,20,3
