order_id,customer_id,order_date,status
1000,95,2024-12-05,completed
1001,91,2024-02-01,completed
1002,50,2024-09-03,completed
1003,97,2024-12-26,completed
1004,74,2025-04-28,cancelled
1005,36,2025-07-08,completed
1006,30,2024-04-27,completed
1007,85,2025-01-09,completed
1008,41,2024-12-14,completed
1009,34,2024-06-30,completed
1010,9,2024-10-08,completed
1011,103,2024-04-15,completed
1012,71,2024-08-18,cancelled
1013,117,2025-02-28,completed
1014,66,2024-10-07,completed
1015,111,2024-02-06,completed
1016,72,2024-09-12,completed
1017,117,2025-07-15,completed
1018,10,2024-10-13,completed
1019,76,2024-06-16,completed
1020,113,2025-07-28,returned
1021,100,2024-12-21,completed
1022,103,2025-07-01,completed
1023,91,2025-05-02,completed
1024,78,2025-05-06,completed
1025,42,2024-11-10,returned
1026,81,2024-10-02,completed
1027,74,2024-04-20,cancelled
1028,50,2024-09-28,completed
1029,57,2024-12-24,returned
1030,16,2024-06-21,completed
1031,40,2025-02-27,cancelled
1032,27,2024-09-07,completed
1033,71,2025-03-24,completed
1034,90,2025-05-23,completed
1035,11,2024-08-30,completed
1036,64,2024-02-21,returned
1037,63,2025-06-03,completed
1038,60,2024-12-02,completed
1039,71,2025-08-05,cancelled
1040,90,2024-09-13,completed
1041,39,2024-11-06,completed
1042,81,2024-03-01,completed
1043,58,2025-03-21,cancelled
1044,30,2025-05-24,completed
1045,104,2025-07-31,completed
1046,65,2024-02-28,completed
1047,109,2025-04-14,completed
1048,77,2024-08-05,completed
1049,44,2025-02-23,completed
1050,36,2025-05-11,completed
1051,58,2025-02-23,completed
1052,71,2024-10-16,completed
1053,78,2024-02-20,cancelled
1054,90,2024-03-25,completed
1055,39,2024-04-11,cancelled
1056,9,2024-03-03,completed
1057,34,2024-02-21,returned
1058,27,2024-10-02,completed
1059,78,2024-05-28,returned
1060,36,2025-05-22,cancelled
1061,43,2025-02-12,completed
1062,102,2024-05-28,completed
1063,53,2024-05-21,returned
1064,7,2024-12-16,returned
1065,114,2025-02-19,completed
1066,119,2024-08-22,completed
1067,98,2024-10-06,completed
1068,117,2024-12-05,cancelled
1069,100,2024-06-03,returned
1070,9,2025-01-21,returned
1071,72,2025-02-14,completed
1072,84,2025-01-15,completed
1073,71,2025-06-16,completed
1074,73,2025-02-05,cancelled
1075,76,2024-07-06,completed
1076,31,2025-07-19,cancelled
1077,47,2025-08-05,completed
1078,77,2025-04-22,cancelled
1079,98,2024-11-01,completed
1080,42,2024-04-29,completed
1081,75,2024-10-07,completed
1082,95,2025-02-23,completed
1083,7,2025-06-21,completed
1084,32,2025-06-14,completed
1085,60,2024-10-22,completed
1086,49,2024-11-09,returned
1087,4,2025-07-14,completed
1088,16,2024-10-05,cancelled
1089,68,2025-06-15,returned
1090,41,2025-06-02,cancelled
1091,119,2025-06-17,completed
1092,6,2024-05-06,completed
1093,39,2025-03-21,cancelled
1094,42,2024-12-10,cancelled
1095,97,2025-02-12,completed
1096,91,2025-07-28,completed
1097,72,2025-01-04,completed
1098,117,2025-05-10,completed
1099,53,2024-10-15,completed
1100,23,2024-08-16,completed
1101,23,2025-08-02,cancelled
1102,32,2024-08-15,completed
1103,79,2024-11-10,cancelled
1104,98,2025-07-22,returned
1105,50,2024-05-13,completed
1106,51,2024-09-20,completed
1107,31,2024-12-06,completed
1108,118,2025-07-31,completed
1109,49,2024-03-18,completed
1110,91,2024-11-26,cancelled
1111,24,2025-06-17,completed
1112,4,2024-11-18,completed
1113,79,2025-04-27,completed
1114,32,2024-03-24,completed
1115,79,2024-05-27,completed
1116,66,2025-06-18,completed
1117,96,2024-03-26,completed
1118,27,2024-12-08,completed
1119,42,2024-06-01,returned
1120,71,2024-09-19,returned
1121,63,2025-05-07,completed
1122,52,2025-04-15,completed
1123,95,2024-04-02,returned
1124,19,2024-08-31,cancelled
1125,36,2024-10-28,cancelled
1126,16,2024-07-10,completed
1127,31,2024-04-17,completed
1128,2,2025-03-25,completed
1129,116,2025-05-27,completed
1130,8,2024-09-25,completed
1131,118,2024-11-16,cancelled
1132,76,2024-04-13,cancelled
1133,40,2024-10-28,cancelled
1134,98,2024-08-21,completed
1135,21,2025-08-11,completed
1136,109,2024-07-02,completed
1137,26,2024-04-14,completed
1138,30,2024-12-11,returned
1139,95,2024-11-22,completed
1140,23,2025-05-25,cancelled
1141,52,2025-03-19,completed
1142,84,2025-08-06,completed
1143,74,2024-04-23,returned
1144,9,2025-04-18,cancelled
1145,56,2024-10-14,completed
1146,17,2024-09-22,cancelled
1147,96,2024-02-22,cancelled
1148,47,2024-03-13,completed
1149,78,2025-07-16,cancelled
1150,74,2024-11-11,completed
1151,97,2025-04-22,cancelled
1152,81,2024-05-04,completed
1153,59,2025-03-25,completed
1154,56,2024-05-18,completed
1155,57,2025-03-28,cancelled
1156,82,2024-11-22,cancelled
1157,66,2024-03-09,completed
1158,17,2024-12-19,completed
1159,56,2024-05-29,completed
1160,85,2024-02-02,cancelled
1161,90,2025-05-19,completed
1162,10,2024-08-11,returned
1163,61,2025-06-25,cancelled
1164,74,2024-03-24,completed
1165,47,2024-06-14,completed
1166,74,2025-06-11,completed
1167,7,2024-10-03,cancelled
1168,29,2024-12-15,returned
1169,4,2025-03-24,completed
1170,39,2024-05-27,completed
1171,23,2024-07-07,completed
1172,119,2024-11-25,returned
1173,118,2024-11-06,completed
1174,79,2025-05-29,completed
1175,76,2024-06-28,completed
1176,33,2025-07-05,cancelled
1177,25,2024-04-12,completed
1178,71,2025-01-14,returned
1179,47,2024-02-03,completed
1180,120,2024-12-02,returned
1181,97,2025-06-16,completed
1182,75,2025-08-05,completed
1183,59,2025-01-06,returned
1184,90,2025-02-21,completed
1185,56,2024-08-12,cancelled
1186,41,2025-02-27,completed
1187,68,2024-03-16,completed
1188,78,2025-02-25,completed
1189,112,2024-07-05,completed
1190,8,2024-06-09,returned
1191,98,2025-01-05,completed
1192,74,2024-05-13,returned
1193,76,2024-02-16,cancelled
1194,26,2025-03-26,cancelled
1195,27,2024-04-17,completed
1196,44,2025-01-12,returned
1197,116,2025-03-14,cancelled
1198,16,2025-01-02,cancelled
1199,89,2025-02-24,completed
1200,107,2025-06-14,returned
1201,8,2024-04-11,completed
1202,107,2024-11-21,completed
1203,17,2025-04-20,completed
1204,108,2024-05-13,completed
1205,30,2024-12-03,completed
1206,9,2024-12-29,completed
1207,51,2025-02-02,completed
1208,73,2024-06-29,completed
1209,88,2025-03-28,returned
1210,115,2024-08-03,completed
1211,31,2024-04-21,returned
1212,63,2024-10-04,completed
1213,97,2024-06-26,completed
1214,77,2024-10-18,completed
1215,43,2024-02-10,completed
1216,50,2025-08-13,completed
1217,14,2025-04-28,completed
1218,98,2024-12-03,cancelled
1219,72,2024-10-14,completed
1220,52,2024-08-22,completed
1221,79,2024-05-20,completed
1222,63,2025-02-02,returned
1223,51,2024-11-29,completed
1224,112,2025-03-12,completed
1225,4,2024-03-22,returned
1226,82,2024-11-20,completed
1227,102,2025-01-26,completed
1228,108,2024-08-13,returned
1229,43,2024-06-20,cancelled
1230,19,2024-03-12,completed
1231,74,2024-03-06,returned
1232,61,2024-06-14,completed
1233,51,2024-12-31,cancelled
1234,71,2024-07-29,completed
1235,24,2025-08-06,completed
1236,88,2025-06-28,completed
1237,30,2024-10-21,completed
